,Kingdom,Phylum,Class,Order,Family,Genus
ASV_1,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_2,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_3,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_4,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylocystis
ASV_6,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum
ASV_7,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rubrivivax
ASV_8,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_9,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_10,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_11,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Methylibium
ASV_12,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_13,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081_sediment_group
ASV_14,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_15,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_16,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
ASV_18,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_19,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_20,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_21,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_22,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_23,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,MSBL7
ASV_24,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA
ASV_25,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_26,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_27,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_28,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_29,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_30,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rhizobacter
ASV_31,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_32,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_33,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_34,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA
ASV_35,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
ASV_36,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_37,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,NA
ASV_38,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_39,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_40,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA
ASV_41,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,NA
ASV_42,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_43,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_44,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_45,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_46,Bacteria,Nitrospirae,4-29-1,NA,NA,NA
ASV_47,Bacteria,Nitrospirae,4-29-1,NA,NA,NA
ASV_48,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_49,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_50,Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26,NA
ASV_51,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_52,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_53,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanolinea
ASV_54,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_55,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_56,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_57,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_58,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_59,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_60,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
ASV_61,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_62,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum
ASV_63,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,NA
ASV_64,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_65,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfobacca
ASV_66,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_67,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_68,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,B1-7BS,NA
ASV_69,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,NA,NA
ASV_70,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,NA,NA
ASV_71,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA
ASV_72,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_73,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_74,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans
ASV_75,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_76,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula
ASV_77,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_13
ASV_78,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_79,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,B1-7BS,NA
ASV_80,Bacteria,Latescibacteria,NA,NA,NA,NA
ASV_81,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,NA
ASV_82,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,NA,NA
ASV_83,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_84,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_85,Bacteria,Actinobacteria,MB-A2-108,NA,NA,NA
ASV_86,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_87,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_88,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_89,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_90,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_91,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_92,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_93,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_94,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_95,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV_96,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_97,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
ASV_98,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_99,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfobacca
ASV_100,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum
ASV_101,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_102,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,NA,NA
ASV_103,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA
ASV_104,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_105,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,NA
ASV_106,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_107,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_108,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_109,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,NA
ASV_110,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_111,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_112,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_113,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,ANME-2a-2b,NA
ASV_114,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1
ASV_115,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA
ASV_116,Bacteria,Rokubacteria,NC10,Methylomirabilales,Methylomirabilaceae,Sh765B-TzT-35
ASV_117,Bacteria,Actinobacteria,MB-A2-108,NA,NA,NA
ASV_118,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_119,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
ASV_120,Bacteria,Acidobacteria,Subgroup_6,Unknown_Order,Unknown_Family,Vicinamibacter
ASV_121,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_122,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,NA
ASV_123,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_124,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thiogranum
ASV_125,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,NA
ASV_126,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Candidatus_Methanoperedens
ASV_127,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_128,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_129,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_130,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA
ASV_131,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,NA,NA
ASV_132,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_133,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1
ASV_134,Bacteria,Proteobacteria,Gammaproteobacteria,SZB30,NA,NA
ASV_135,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_136,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_137,Bacteria,Rokubacteria,NC10,Methylomirabilales,Methylomirabilaceae,Sh765B-TzT-35
ASV_138,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_139,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,NA
ASV_140,Archaea,Euryarchaeota,Thermoplasmata,Marine_Benthic_Group_D_and_DHVEG-1,NA,NA
ASV_141,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_142,Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26,NA
ASV_143,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,NA
ASV_144,Archaea,Crenarchaeota,Verstraetearchaeia,Methanomethyliales,Methanomethyliaceae,Candidatus_Methanomethylicus
ASV_145,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula
ASV_146,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_147,Bacteria,Acidobacteria,Subgroup_22,NA,NA,NA
ASV_148,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Sulfurifustis
ASV_149,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_150,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_151,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula
ASV_152,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_153,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_154,Bacteria,Chloroflexi,Dehalococcoidia,GIF9,AB-539-J10,SCGC-AB-539-J10
ASV_155,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_156,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_157,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_158,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,NA,NA
ASV_159,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_160,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,NA
ASV_161,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA
ASV_162,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA
ASV_163,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula
ASV_164,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,NA,NA
ASV_165,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio
ASV_166,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Candidatus_Methanoperedens
ASV_167,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_168,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_169,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_170,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella
ASV_171,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,NA
ASV_172,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,NA
ASV_173,Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26,NA
ASV_174,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Candidatus_Anammoximicrobium
ASV_175,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307
ASV_176,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_177,Bacteria,Chloroflexi,KD4-96,NA,NA,NA
ASV_178,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_179,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
ASV_180,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
ASV_181,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_182,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_183,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,NA
ASV_184,Bacteria,Proteobacteria,Gammaproteobacteria,CCM19a,NA,NA
ASV_185,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia
ASV_186,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
ASV_187,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_188,Bacteria,Acidobacteria,Subgroup_22,NA,NA,NA
ASV_189,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_190,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_191,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_192,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_193,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_194,Bacteria,Chloroflexi,Dehalococcoidia,FS117-23B-02,NA,NA
ASV_195,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,NA
ASV_196,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_197,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,NA
ASV_198,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_199,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_200,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_201,Archaea,Asgardaeota,Lokiarchaeia,NA,NA,NA
ASV_202,Bacteria,Acidobacteria,Holophagae,Subgroup_7,NA,NA
ASV_203,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_204,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_205,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_206,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_207,Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26,NA
ASV_208,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,NA
ASV_209,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA
ASV_210,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,NA
ASV_211,Bacteria,Acidobacteria,Subgroup_6,Unknown_Order,Unknown_Family,Luteitalea
ASV_212,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_213,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
ASV_214,Bacteria,Nitrospinae,P9X2b3D02,NA,NA,NA
ASV_215,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7_clade
ASV_216,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_217,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonaceae,Crenothrix
ASV_218,Bacteria,Chloroflexi,Dehalococcoidia,GIF9,AB-539-J10,SCGC-AB-539-J10
ASV_219,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,NA
ASV_220,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,NA
ASV_221,Bacteria,Planctomycetes,vadinHA49,NA,NA,NA
ASV_222,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea
ASV_223,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix
ASV_224,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,NA
ASV_225,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_226,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_227,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_228,Archaea,Euryarchaeota,Thermoplasmata,Marine_Benthic_Group_D_and_DHVEG-1,NA,NA
ASV_229,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_230,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,MND1
ASV_231,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter
ASV_232,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,NA
ASV_233,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Sulfuricellaceae,Sulfuricella
ASV_234,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,ANME-2a-2b,NA
ASV_235,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter
ASV_236,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,NA
ASV_237,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_238,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_239,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_240,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,NA,NA
ASV_241,Bacteria,Proteobacteria,Gammaproteobacteria,JG36-GS-52,NA,NA
ASV_242,Bacteria,Acidobacteria,Subgroup_22,NA,NA,NA
ASV_243,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_vadinHA17,NA
ASV_244,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_245,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_246,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,oc32
ASV_247,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Candidatus_Nitrotoga
ASV_248,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,NA
ASV_249,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,NA
ASV_250,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Sulfuricellaceae,Ferritrophicum
ASV_251,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,NA,NA
ASV_252,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Pelosinus
ASV_253,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_254,Bacteria,Chloroflexi,Dehalococcoidia,MSBL5,NA,NA
ASV_255,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_256,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_257,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia
ASV_258,Bacteria,Acidobacteria,Subgroup_18,NA,NA,NA
ASV_259,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_260,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_261,Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26,NA
ASV_262,Bacteria,Proteobacteria,Gammaproteobacteria,SZB30,NA,NA
ASV_263,Bacteria,Rokubacteria,NC10,Rokubacteriales,NA,NA
ASV_264,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_265,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_266,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus
ASV_267,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1
ASV_268,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium
ASV_269,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Lautropia
ASV_270,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_271,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Dinghuibacter
ASV_272,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV_273,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_274,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,Ellin6067
ASV_275,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,NA
ASV_276,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,NA
ASV_277,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA
ASV_278,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_279,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_280,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA
ASV_281,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA
ASV_282,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,NA
ASV_283,Bacteria,Acidobacteria,Aminicenantia,Aminicenantales,NA,NA
ASV_284,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_285,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,NA
