,Kingdom,Phylum,Class,Order,Family,Genus
ASV_36082,Bacteria,Chloroflexi,Dehalococcoidia,GIF9,NA,NA
ASV_36083,Bacteria,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101_soil_group,NA
ASV_36084,Bacteria,Chloroflexi,Dehalococcoidia,NA,NA,NA
ASV_36085,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,NA
ASV_36086,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_14
ASV_36087,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,AKAU3564_sediment_group,NA
ASV_36088,Bacteria,Proteobacteria,Alphaproteobacteria,Tistrellales,Geminicoccaceae,Geminicoccus
ASV_36089,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_36090,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Gimesiaceae,NA
ASV_36091,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema
ASV_36092,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_36093,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,NA,NA
ASV_36094,Bacteria,Planctomycetes,NA,NA,NA,NA
ASV_36095,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_36096,Bacteria,Rokubacteria,NC10,Methylomirabilales,Methylomirabilaceae,NA
ASV_36097,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maritimimonas
ASV_36098,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_36099,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter
ASV_36100,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_36101,Bacteria,Planctomycetes,Phycisphaerae,mle1-8,NA,NA
ASV_36102,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_36103,Bacteria,Hydrogenedentes,Hydrogenedentia,Hydrogenedentiales,Hydrogenedensaceae,NA
ASV_36104,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,NA,NA
ASV_36105,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_36106,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA
ASV_36107,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA
ASV_36108,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,MA-28-I98C,NA
ASV_36109,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,NA,NA
ASV_36110,Bacteria,Omnitrophicaeota,NA,NA,NA,NA
ASV_36111,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,NA
ASV_36112,Bacteria,WS1,NA,NA,NA,NA
ASV_36113,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,NA
ASV_36114,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_36115,Bacteria,Armatimonadetes,NA,NA,NA,NA
ASV_36116,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ASV_36117,Bacteria,NA,NA,NA,NA,NA
ASV_36118,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfatiglans
ASV_36119,Bacteria,Chloroflexi,Dehalococcoidia,GIF3,NA,NA
ASV_36120,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoactinomyces
ASV_36121,Bacteria,NA,NA,NA,NA,NA
ASV_36122,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV_36123,Archaea,Euryarchaeota,Thermococci,Methanofastidiosales,Methanofastidiosaceae,Candidatus_Methanofastidiosum
ASV_36124,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA
ASV_36125,Bacteria,Proteobacteria,NA,NA,NA,NA
ASV_36126,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,B1-7BS,NA
ASV_36127,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA
ASV_36128,Bacteria,Tenericutes,Mollicutes,EMP-G18,NA,NA
ASV_36129,Bacteria,Acidobacteria,Subgroup_6,Unknown_Order,Unknown_Family,NA
ASV_36130,Bacteria,Firmicutes,NA,NA,NA,NA
ASV_36131,Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26,NA
ASV_36132,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,Holophaga
ASV_36133,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
ASV_36134,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerobacterium
ASV_36135,Bacteria,NA,NA,NA,NA,NA
ASV_36136,Bacteria,NA,NA,NA,NA,NA
ASV_36137,Bacteria,Acidobacteria,Subgroup_17,NA,NA,NA
ASV_36138,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Gemmata
ASV_36139,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,mle1-27,NA
ASV_36140,Archaea,NA,NA,NA,NA,NA
ASV_36141,Bacteria,Planctomycetes,NA,NA,NA,NA
ASV_36142,Bacteria,Calditrichaeota,Calditrichia,Calditrichales,Calditrichaceae,Calorithrix
ASV_36143,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,NA
ASV_36144,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,NA
ASV_36145,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA
ASV_36146,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_36147,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir3_lineage
ASV_36148,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_36149,Bacteria,NA,NA,NA,NA,NA
ASV_36150,Bacteria,Chloroflexi,Dehalococcoidia,S085,NA,NA
ASV_36151,Bacteria,Planctomycetes,Pla4_lineage,NA,NA,NA
ASV_36152,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA
ASV_36153,Bacteria,NA,NA,NA,NA,NA
ASV_36154,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA
ASV_36155,Bacteria,Acidobacteria,Subgroup_11,NA,NA,NA
ASV_36156,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_36157,Archaea,Diapherotrites,Micrarchaeia,NA,NA,NA
ASV_36158,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea
ASV_36159,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_36160,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_36161,Bacteria,Proteobacteria,Deltaproteobacteria,NB1-j,NA,NA
ASV_36162,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,SM23-30,NA
ASV_36163,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV_36164,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,B122,NA
ASV_36165,Bacteria,WS2,NA,NA,NA,NA
ASV_36166,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA
ASV_36167,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Marimicrobium
ASV_36168,Bacteria,NA,NA,NA,NA,NA
ASV_36169,Bacteria,Acidobacteria,NA,NA,NA,NA
ASV_36170,Bacteria,Nitrospinae,P9X2b3D02,NA,NA,NA
ASV_36171,Bacteria,Latescibacteria,NA,NA,NA,NA
ASV_36172,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
ASV_36173,Bacteria,Proteobacteria,Deltaproteobacteria,MBNT15,NA,NA
ASV_36174,Bacteria,NA,NA,NA,NA,NA
ASV_36175,Bacteria,Planctomycetes,NA,NA,NA,NA
ASV_36176,Bacteria,WS1,NA,NA,NA,NA
ASV_36177,Bacteria,Bacteroidetes,Bacteroidia,NA,NA,NA
ASV_36178,Bacteria,Omnitrophicaeota,NA,NA,NA,NA
ASV_36179,Bacteria,Armatimonadetes,DG-56,NA,NA,NA
ASV_36180,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,NA
ASV_36181,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA
ASV_36182,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,NA,NA
ASV_36183,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_36184,Bacteria,Planctomycetes,Pla3_lineage,NA,NA,NA
ASV_36185,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,VHS-B3-70,NA
ASV_36186,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_36187,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA
ASV_36188,Bacteria,Chloroflexi,Anaerolineae,ADurb.Bin180,NA,NA
ASV_36189,Bacteria,Omnitrophicaeota,NA,NA,NA,NA
ASV_36190,Bacteria,Chloroflexi,NA,NA,NA,NA
ASV_36191,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_36192,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,NA
ASV_36193,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,AKAU3564_sediment_group,NA
ASV_36194,Bacteria,Acidobacteria,Subgroup_6,Unknown_Order,Unknown_Family,Vicinamibacter
ASV_36195,Bacteria,Verrucomicrobia,Verrucomicrobiae,S-BQ2-57_soil_group,NA,NA
ASV_36196,Bacteria,Chloroflexi,Anaerolineae,NA,NA,NA
ASV_36197,Bacteria,Latescibacteria,NA,NA,NA,NA
ASV_36198,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
ASV_36199,Bacteria,Fibrobacteres,Chitinivibrionia,NA,NA,NA
ASV_36200,Bacteria,NA,NA,NA,NA,NA
ASV_36201,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_36202,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,NA
ASV_36203,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Falsibacillus
ASV_36204,Bacteria,Planctomycetes,Phycisphaerae,MSBL9,NA,NA
ASV_36205,Bacteria,Acidobacteria,Subgroup_22,NA,NA,NA
ASV_36206,Archaea,Crenarchaeota,Bathyarchaeia,NA,NA,NA
ASV_36207,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA
ASV_36208,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_36209,Bacteria,BRC1,NA,NA,NA,NA
ASV_36210,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,NA
ASV_36211,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA
ASV_36212,Bacteria,Acidobacteria,ODP1230B23.02,NA,NA,NA
ASV_36213,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
